Program ID,YÖK Atlas Baðlantýsý,Üniversite,Fakülte,Program Adý,Program Kabul Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,"Ünivers,teTürü",Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjaný,2022 Yýlý Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Dil Puanlarý.Üniversite Türü,Dil Puanlarý.Üniversite,Dil Puanlarý.Fakülte / Yüksekokul,Dil Puanlarý.Puan Türü,Dil Puanlarý.Burs Türü,Dil Puanlarý.Genel Kontenjan,Dil Puanlarý.Okul Birincisi Kontenjaný,Dil Puanlarý.Toplam Kontenjan **,Dil Puanlarý.Genel Kontenjana Yerleþen,Dil Puanlarý.Okul Birincisi Kontenjanýna Yerleþen,Dil Puanlarý.Toplam Yerleþen,Dil Puanlarý.Boþ Kalan Kontenjan,Dil Puanlarý.Ýlk Yerleþme Oraný,Dil Puanlarý.Yerleþip Kayýt Yaptýrmayan,Dil Puanlarý.Ek Yerleþen,"Dil Puanlarý.0,12 Katsayý ile Yerleþen Son Kiþinin Puaný *","Dil Puanlarý.0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný *","Dil Puanlarý.0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","Dil Puanlarý.0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","Dil Puanlarý.2023 Tavan Puan(0,12) *","Dil Puanlarý.2023 Tavan Baþarý Sýrasý(0,12) *",Dil Puanlarý.2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý *,Dil Puanlarý.Yerleþenlerin Ortalama OBP'si *,Dil Puanlarý.Yerleþenlerin Ortalama Diploma Notu *
408810693,https://yokatlas.yok.gov.tr/lisans.php?y=408810693,ULUSLARARASI SARAYBOSNA ÜNÝVERSÝTESÝ,Sanat ve Sosyal Bilimler Fakültesi,Ýngiliz Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=408810693,(Burslu)(4 Yýllýk),SARAYBOSNA - BOSNA - HERSEK,Yurt Dýþý,Burslu,Örgün,Doldu#,1,1,1,,6052,8453,26084,,473.50106,455.25891,354.23011,,1,1,1,,Yurt Dýþý,ULUSLARARASI SARAYBOSNA ÜNÝVERSÝTESÝ,Sanat ve Sosyal Bilimler Fakültesi,DÝL,Burslu,1,,1,1,,1,0,1,,,473.50106,,6052,,473.50106,6052,,446.85,89.4
102270027,https://yokatlas.yok.gov.tr/lisans.php?y=102270027,BOÐAZÝÇÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,Çeviribilimi,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102270027,(Ýngilizce)(KKTC Uyruklu)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,2,1,,,8346,6113,,,460.91297,468.25478,,,2,1,1,,Devlet,BOÐAZÝÇÝ ÜNÝVERSÝTESÝ,Fen-Edebiyat Fakültesi,DÝL,Ücretsiz,2,,2,2,,2,0,1,1,,460.91297,,8346,,477.40691,5430,1,448.472,89.7
105690744,https://yokatlas.yok.gov.tr/lisans.php?y=105690744,ÝSTANBUL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Ýspanyol Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105690744,(Ýspanyolca)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,54,52,52,,13711,13215,11709,,439.7291,434.14845,403.49018,,54,52,52,,Devlet,ÝSTANBUL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,50,2,54,52,,54,0,1,2,,439.7291,,13711,,484.07911,4481,6,435.79,87.2
202210386,https://yokatlas.yok.gov.tr/lisans.php?y=202210386,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202210386,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,11,6,,,14650,8758,,,436.71732,453.64406,,,11,6,,,Vakýf,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,Burslu,9,,11,9,,11,0,1,,,436.71732,,14650,,481.76458,4803,,442.719,88.5
104890561,https://yokatlas.yok.gov.tr/lisans.php?y=104890561,HACETTEPE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Fransýzca Mütercim ve Tercümanlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=104890561,(KKTC Uyruklu)(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,1,,,,16116,,,,432.16696,,,,1,,,,Devlet,HACETTEPE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,1,,1,1,,1,0,1,,,432.16696,,16116,,432.16696,16116,,475.556,95.1
102410206,https://yokatlas.yok.gov.tr/lisans.php?y=102410206,BURSA TEKNÝK ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,Ýngilizce Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102410206,(4 Yýllýk),BURSA,Devlet,Ücretsiz,Örgün,Doldu#,32,31,,,17548,19890,,,428.04752,411.64203,,,32,31,,,Devlet,BURSA TEKNÝK ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,DÝL,Ücretsiz,30,1,32,30,1,32,0,1,3,,428.04752,,17548,,488.61881,3880,2,430.671,86.1
104890554,https://yokatlas.yok.gov.tr/lisans.php?y=104890554,HACETTEPE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Alman Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=104890554,(KKTC Uyruklu)(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,1,,,,18033,,,,426.67327,,,,1,,,,Devlet,HACETTEPE ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,1,,1,1,,1,0,1,,,426.67327,,18033,,426.67327,18033,,423.5,84.7
111790331,https://yokatlas.yok.gov.tr/lisans.php?y=111790331,ANKARA HACI BAYRAM VELÝ ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Ýngiliz Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=111790331,(Ýngilizce)(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,74,72,72,,18802,19820,19874,,424.48486,411.88183,374.17031,,74,72,72,,Devlet,ANKARA HACI BAYRAM VELÝ ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,70,2,74,72,,74,0,1,1,,424.48486,,18802,,446.26631,11806,4,426.211,85.2
110910125,https://yokatlas.yok.gov.tr/lisans.php?y=110910125,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,Yabancý Diller Fakültesi,Japonca Mütercim ve Tercümanlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110910125,(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,42,41,41,,18843,20182,19057,,424.38812,410.67325,376.80266,,42,41,41,,Devlet,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,Yabancý Diller Fakültesi,DÝL,Ücretsiz,40,1,42,41,,42,0,1,,,424.38812,,18843,,459.94051,8541,5,432.419,86.5
202790579,https://yokatlas.yok.gov.tr/lisans.php?y=202790579,ÝSTANBUL GELÝÞÝM ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Fakültesi,Ýngilizce Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202790579,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,11,9,8,,19930,18084,17585,,421.44616,417.37294,381.7602,,11,9,8,,Vakýf,ÝSTANBUL GELÝÞÝM ÜNÝVERSÝTESÝ,Uygulamalý Bilimler Fakültesi,DÝL,Burslu,9,,11,9,,11,0,1,1,1,421.44616,,19930,,438.10583,14232,,415.067,83
205090226,https://yokatlas.yok.gov.tr/lisans.php?y=205090226,ÝSTANBUL TOPKAPI ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",Ýngilizce Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=205090226,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,7,,,,20956,,,,418.58283,,,,7,,,,Vakýf,ÝSTANBUL TOPKAPI ÜNÝVERSÝTESÝ,"Ýktisadi, Ýdari ve Sosyal Bilimler Fakültesi",DÝL,Burslu,5,,7,5,,7,0,1,1,,418.58283,,20956,,428.02849,17562,4,424.08,84.8
108890289,https://yokatlas.yok.gov.tr/lisans.php?y=108890289,SAKARYA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,Ýngilizce Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=108890289,(4 Yýllýk),SAKARYA,Devlet,Ücretsiz,Örgün,Doldu#,64,62,62,,21877,23090,24052,,416.09625,402.32641,360.52783,,64,62,62,,Devlet,SAKARYA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,DÝL,Ücretsiz,60,2,64,60,2,64,0,1,1,,416.09625,,21877,,462.83408,7986,6,417.095,83.4
408810691,https://yokatlas.yok.gov.tr/lisans.php?y=408810691,ULUSLARARASI SARAYBOSNA ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=408810691,(Burslu)(4 Yýllýk),SARAYBOSNA - BOSNA - HERSEK,Yurt Dýþý,Burslu,Örgün,Doldu#,2,1,1,,23017,21408,15660,,413.1459,407.11447,388.57293,,2,1,1,,Yurt Dýþý,ULUSLARARASI SARAYBOSNA ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,Burslu,2,,2,2,,2,0,1,,,413.1459,,23017,,414.72506,22382,,415.156,83
105761193,https://yokatlas.yok.gov.tr/lisans.php?y=105761193,ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ,Sosyal ve Beþeri Bilimler Fakültesi,Ýngiliz Dili ve Edebiyatý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105761193,(Ýngilizce)(4 Yýllýk),ÝZMÝR,Devlet,Ücretsiz,Örgün,Doldu#,42,,,,24718,,,,408.87661,,,,42,,,,Devlet,ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ,Sosyal ve Beþeri Bilimler Fakültesi,DÝL,Ücretsiz,40,1,42,40,1,42,0,1,2,2,408.87661,,24718,,439.39124,13822,1,424.408,84.9
100490219,https://yokatlas.yok.gov.tr/lisans.php?y=100490219,AFYON KOCATEPE ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100490219,(Ýngilizce)(4 Yýllýk),AFYONKARAHÝSAR,Devlet,Ücretsiz,Örgün,Doldu#,62,62,62,,25512,22376,19690,,406.94681,404.27331,374.79399,,62,62,62,,Devlet,AFYON KOCATEPE ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,Ücretsiz,60,2,62,61,1,62,0,1,,,406.94681,,25512,,432.41599,16015,2,416.306,83.3
105690809,https://yokatlas.yok.gov.tr/lisans.php?y=105690809,ÝSTANBUL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Arapça Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105690809,(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,32,31,,,25766,27422,,,406.35977,389.80088,,,32,31,,,Devlet,ÝSTANBUL ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,30,1,32,30,1,32,0,1,1,,406.35977,,25766,,456.14274,9371,3,419.843,84
111610397,https://yokatlas.yok.gov.tr/lisans.php?y=111610397,ÝSTANBUL ÜNÝVERSÝTESÝ-CERRAHPAÞA,Hasan Ali Yücel Eðitim Fakültesi,Almanca Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=111610397,(Almanca)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,52,52,7,50,25923,30505,,,405.90673,381.38097,,,52,52,52,52,Devlet,ÝSTANBUL ÜNÝVERSÝTESÝ-CERRAHPAÞA,Hasan Ali Yücel Eðitim Fakültesi,DÝL,Ücretsiz,50,2,52,52,,52,0,1,6,,405.90673,,25923,,434.23242,15439,10,409.43,81.9
105490190,https://yokatlas.yok.gov.tr/lisans.php?y=105490190,ÝSTANBUL MEDENÝYET ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,Dilbilimi,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105490190,(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,32,,,,26932,,,,403.37711,,,,32,,,,Devlet,ÝSTANBUL MEDENÝYET ÜNÝVERSÝTESÝ,Edebiyat Fakültesi,DÝL,Ücretsiz,30,1,32,31,,32,0,1,1,1,403.37711,,26932,,447.33278,11544,11,397.062,79.4
110910147,https://yokatlas.yok.gov.tr/lisans.php?y=110910147,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,Yabancý Diller Fakültesi,Rusça Mütercim ve Tercümanlýk (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110910147,(4 Yýllýk),ANKARA,Devlet,Ücretsiz,Örgün,Doldu#,42,41,,,27954,37351,,,400.87357,362.87459,,,42,41,,,Devlet,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,Yabancý Diller Fakültesi,DÝL,Ücretsiz,40,1,42,41,,42,0,1,3,,400.87357,,27954,,447.25365,11560,2,428.251,85.7
104590159,https://yokatlas.yok.gov.tr/lisans.php?y=104590159,GÝRESUN ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Ýngilizce Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=104590159,(4 Yýllýk),GÝRESUN,Devlet,Ücretsiz,Örgün,Doldu#,41,41,41,,28347,24783,21467,,399.91772,397.19219,368.78058,,41,41,41,,Devlet,GÝRESUN ÜNÝVERSÝTESÝ,Eðitim Fakültesi,DÝL,Ücretsiz,40,1,41,40,1,41,0,1,1,,399.91772,,28347,,463.41008,7871,8,416.831,83.4
