Program ID,Üniversite,Fakülte,YOK Atlas Baðlantýsý,Program Adý,Program Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,Üniversite Türü,Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjan,2022 Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Eþit Aðýrlýk Puanlarý.Fakülte / Yüksekokul,Puan Türü,Burs Türü,2023 Yýlý Genel Kontenjan,2023 Yýlý Okul Birincisi Kontenjaný,2023 Yýlý Toplam Kontenjaný,2023 Yýlý Genel Kontenjana Yerleþen,2023 Yýlý Okul Birincisi Kontenjanýna Yerleþen,2023 Yýlý Toplam Yerleþen,2023 Yýlý Boþ Kalan Kontenjan,2023 Yýlý Ýlk Yerleþme Oraný,2023 Yýlý Yerleþip Kayýt Yaptýrmayan,2023 Yýlý Ek Yerleþen,"2023 Yýlý 0,12 Katsayý ile Yerleþen Son Kiþinin Puaný *","2023 Yýlý 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný *","2023 Yýlý 0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *","2023 Yýlý 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlý Tavan Puan(0,12 Katsayýsý ile) *","2023 Yýlý Tavan Baþarý Sýrasý(0,12 Katsayýsý ile) *",2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý,2023 Yýlýnda Yerleþenlerin Ortalama OBP'si *,2023 Yýlýnda Yerleþenlerin Ortalama Diploma Notu *
102270077,BOÐAZÝÇÝ ÜNÝVERSÝTESÝ,Yönetim Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=102270077,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102270077,(Ýngilizce)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,59,,,,795,,,,507.52277,,,,59,,,,Yönetim Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,55,2,59,55,2,59,0,100.00%,,,507.52277,,795,,532.13992,153,6,469.029,93.8
102270070,BOÐAZÝÇÝ ÜNÝVERSÝTESÝ,Yönetim Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=102270070,Uluslararasý Ticaret (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102270070,(Ýngilizce)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,54,,,,1123,,,,499.91045,,,,54,,,,Yönetim Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,50,2,54,50,2,54,0,100.00%,,,499.91045,,1123,,511.9393,639,1,472.877,94.6
206190547,YEDÝTEPE ÜNÝVERSÝTESÝ,Bilgisayar ve Biliþim Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=206190547,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=206190547,(Ýngilizce)(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu,12,,,,2255,,,,481.30671,,,,14,,,,Bilgisayar ve Biliþim Bilimleri Fakültesi,Eþit Aðýrlýk,Burslu,11,,14,11,,12,2,85.70%,,,481.30671,,2255,,506.7314,825,,440.854,88.2
102270063,BOÐAZÝÇÝ ÜNÝVERSÝTESÝ,Yönetim Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=102270063,Turizm Ýþletmeciliði (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=102270063,(Ýngilizce)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,59,,,,2374,,,,480.00288,,,,59,,,,Yönetim Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,55,2,59,55,2,59,0,100.00%,1,1,480.00288,,2374,,497.22796,1259,6,459.082,91.8
107290534,MARMARA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=107290534,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=107290534,(Ýngilizce)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,42,,,,13611,,,,428.98939,,,,42,,,,Ýnsan ve Toplum Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,40,1,42,40,1,42,0,100.00%,,,428.98939,,13611,,490.38141,1618,3,458.316,91.7
203490279,ÝSTANBUL TÝCARET ÜNÝVERSÝTESÝ,Ýþletme Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=203490279,Yönetim Biliþim Sistemleri (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203490279,(Ýngilizce)(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu,6,,,,20760,,,,419.66613,,,,7,,,,Ýþletme Fakültesi,Eþit Aðýrlýk,Burslu,5,,7,5,,6,1,85.70%,,,419.66613,,20760,,442.85677,7996,,439.891,88
107290541,MARMARA ÜNÝVERSÝTESÝ,Ýnsan ve Toplum Bilimleri Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=107290541,Psikoloji,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=107290541,(4 Yýllýk),ÝSTANBUL,Devlet,Ücretsiz,Örgün,Doldu#,42,,,,23365,,,,416.95192,,,,42,,,,Ýnsan ve Toplum Bilimleri Fakültesi,Eþit Aðýrlýk,Ücretsiz,40,1,42,40,1,42,0,100.00%,1,,416.95192,,23365,,435.96952,10110,1,449.123,89.8
105761158,ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=105761158,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=105761158,(4 Yýllýk),ÝZMÝR,Devlet,Ücretsiz,Örgün,Doldu#,62,,,,23926,,,,416.42634,,,,62,,,,Hukuk Fakültesi,Eþit Aðýrlýk,Ücretsiz,60,2,62,60,2,62,0,100.00%,,,416.42634,,23926,,438.93591,9095,2,446.336,89.3
204610471,NUH NACÝ YAZGAN ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=204610471,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=204610471,(Burslu)(4 Yýllýk),KAYSERÝ,Vakýf,Burslu,Örgün,Doldu,8,,,,29746,,,,411.30654,,,,9,,,,Hukuk Fakültesi,Eþit Aðýrlýk,Burslu,7,,9,7,,8,1,88.90%,,,411.30654,,29746,,416.09797,24290,,438.446,87.7
107290513,MARMARA ÜNÝVERSÝTESÝ,Hukuk Fakültesi,https://yokatlas.yok.gov.tr/lisans.php?y=107290513,Hukuk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=107290513,(UOLP-Uluslararasý Saraybosna Üniversitesi)(Ücretli)(4 Yýllýk),ÝSTANBUL,Devlet,Ücretli,Örgün,Doldu#,5,,,,39017,,,,404.17131,,,,5,,,,Hukuk Fakültesi,Eþit Aðýrlýk,Ücretli,5,,5,5,,5,0,100.00%,,,404.17131,,39017,,429.70776,13184,,439.866,88
