Program ID,YÖK Atlas Baðlantýsý,Üniversite,Fakülte,Program Adý,Program Kabul Koþullarý Baðlantýsý,Öðretim Dili/Süresi/BursDurumu,Þehir,Üniversite Türü,Ücret/Burs,Eðitim Öðretim Türü,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2022 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2021 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2020 Yýlý TBS 0.12 Katsayýsý ile Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjaný,2022 Yýlý Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Fakülte / Yüksekokul,Sayýsal Puanlarý.Puan Türü,Burs Türü,2023 Yýlý Genel Kontenjan,2023 Yýlý  Okul Birincisi Kontenjaný,2023 Yýlý Toplam Kontenjan,2023 Yýlý Genel Kontenjana Yerleþen,2023 Yýlý  Okul Birincisi Kontenjanýna Yerleþen,2023 Yýlý Toplam Yerleþen,2023 Yýlý Boþ Kalan Kontenjan,2023 Yýlý Ýlk Yerleþme Oraný,2023 Yýlý Yerleþip Kayýt Yaptýrmayan,2023 Yýlý Ek Yerleþen,"2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Puaný","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný","2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý *",2023 Yýlý TBS 0.12 Katsayý Tavan Puaný,"2023 Yýlý 0,12 katsayý ile Tavan Baþarý Sýrasý",2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý,2023 Yýlýnda Yerleþenlerin Ortalama OBP'si,2023 Yýlýnda Yerleþenlerin Ortalama Diploma Notu
200190116,https://yokatlas.yok.gov.tr/lisans.php?y=200190116,ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ,Mühendislik ve Doða Bilimleri Fakültesi,Biyomedikal Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=200190116,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,21,30,,,,,,,,,,,34,31,,,Mühendislik ve Doða Bilimleri Fakültesi,Sayýsal,%50 Ýndirimli,34,,34,21,,21,13,61.80%,2,1,314.51319,,277644,,471.0051,39.774,,451.664,90.3
301410073,https://yokatlas.yok.gov.tr/lisans.php?y=301410073,ADA KENT ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Yazýlým Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=301410073,(Ýngilizce)(%25 Ýndirimli)(4 Yýllýk),KKTC-GAZÝMAÐUSA,KKTC,%25 Ýndirimli,Örgün,Dolmadý,1,,,,,,,,,,,,25,,,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,%25 Ýndirimli,25,,25,1,,1,24,4.00%,,,312.567,,283712,,312.567,283.712,,442.183,88.4
110410229,https://yokatlas.yok.gov.tr/lisans.php?y=110410229,ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Havacýlýk ve Uzay Bilimleri Fakültesi,Havacýlýk ve Uzay Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110410229,(Ýngilizce)(KKTC Uyruklu)(4 Yýllýk),ADANA,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,2,2,,Havacýlýk ve Uzay Bilimleri Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
110410272,https://yokatlas.yok.gov.tr/lisans.php?y=110410272,ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Malzeme Bilimi ve Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110410272,(Ýngilizce)(4 Yýllýk),ADANA,Devlet,Ücretsiz,Örgün,Dolmadý,8,,,,,,,,,,,,51,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,40,1,51,8,,8,43,15.70%,,,310.34833,,290869,,335.55166,220.33,,429.985,86
100410872,https://yokatlas.yok.gov.tr/lisans.php?y=100410872,AFYON KOCATEPE ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Biyomedikal Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100410872,(KKTC Uyruklu)(4 Yýllýk),AFYONKARAHÝSAR,Devlet,Ücretsiz,Örgün,Dolmadý,,,,,,,,,,,,,1,2,2,2,Mühendislik Fakültesi,Sayýsal,Ücretsiz,1,,1,,,,1,0.00%,,,,,,,,,,,
100490270,https://yokatlas.yok.gov.tr/lisans.php?y=100490270,AFYON KOCATEPE ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Geomatik Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100490270,(4 Yýllýk),AFYONKARAHÝSAR,Devlet,Ücretsiz,Örgün,Dolmadý,4,,,,,,,,,,,,21,,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,20,1,21,4,,4,17,19.00%,1,1,309.02576,,295356,,331.66728,229.861,,405.113,81
100590106,https://yokatlas.yok.gov.tr/lisans.php?y=100590106,AÐRI ÝBRAHÝM ÇEÇEN ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Fen Bilgisi Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100590106,(4 Yýllýk),AÐRI,Devlet,Ücretsiz,Örgün,Dolmadý,7,7,,,,,,,,,,,26,31,,,Eðitim Fakültesi,Sayýsal,Ücretsiz,25,1,26,7,,7,19,26.90%,,1,308.60326,,296781,,353.971,180.938,,414.295,82.9
202990281,https://yokatlas.yok.gov.tr/lisans.php?y=202990281,ALTINBAÞ ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Mimarlýk,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202990281,(Ýngilizce)(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Dolmadý,1,3,,,,,,,,,,,2,5,,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,%50 Ýndirimli,2,,2,1,,1,1,50.00%,,,353.2894,,182261,,353.2894,182.261,,448.057,89.6
100990095,https://yokatlas.yok.gov.tr/lisans.php?y=100990095,AMASYA ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Makine Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=100990095,(4 Yýllýk),AMASYA,Devlet,Ücretsiz,Örgün,Dolmadý,12,7,,,,,,,,,,,21,21,,,Mühendislik Fakültesi,Sayýsal,Ücretsiz,20,1,21,12,,12,9,57.10%,,9,307.99536,,298826,,359.41901,170.75,,402.86,80.6
209510215,https://yokatlas.yok.gov.tr/lisans.php?y=209510215,ANKARA BÝLÝM ÜNÝVERSÝTESÝ,Mühendislik ve Mimarlýk Fakültesi,Bilgisayar Mühendisliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=209510215,(Ücretli)(4 Yýllýk),ANKARA,Vakýf,Ücretli,Örgün,Dolmadý,7,,,,,,,,,,,,14,,,,Mühendislik ve Mimarlýk Fakültesi,Sayýsal,Ücretli,14,,14,7,,7,7,50.00%,3,3,309.24909,,294585,,368.82619,154.737,,423.919,84.8
