Program ID,YOK Atlas Baðlantýsý,Üniversite,Program Adý,ProgramAdý,Program Koþullarý Baðlantýsý,Öðretim Dili-Süresi-BursDurumu,Þehir,Üniversite Türü,Ücret/Burs Durumu,dt-center 5,2023 Yýlý Doluluk Durumu,2023 Yýlý Yerleþen Sayýsý,2022 Yýlý Yerleþen Sayýsý,2021 Yýlý Yerleþen Sayýsý,2020 Yýlý Yerleþen Sayýsý,2023 Yýlý TBS 0.12 Baþarý Sýrasý,2022 Yýlý TBS 0.12 Baþarý Sýrasý,2021 Yýlý TBS 0.12 Baþarý Sýrasý,2020 Yýlý TBS 0.12 Baþarý Sýrasý,2023 Yýlý TBS 0.12 Katsayý Taban Puaný,2022 Yýlý TBS 0.12 Katsayý Taban Puaný,2021 Yýlý TBS 0.12 Katsayý Taban Puaný,2020 Yýlý TBS 0.12 Katsayý Taban Puaný,2023 Yýlý Toplam Kontenjaný,2022 Yýlý Toplam Kontenjaný,2021 Yýlý Toplam Kontenjaný,2020 Yýlý Toplam Kontenjaný,Fakülte / Yüksekokul,Puan Türü,Burs Türü,2023 Yýlý Genel Kontenjan,2023 Yýlý Okul Birincisi Kontenjaný,2023 Yýlý  Toplam Kontenjan **,2023 Yýlý Genel Kontenjana Yerleþen,2023 Yýlý Okul Birincisi Kontenjanýna Yerleþen,2023 Yýlý Toplam Yerleþen,2023 Yýlý Boþ Kalan Kontenjan,2023 Yýlý Ýlk Yerleþme Oraný,2023 Yýlýnda Yerleþip Kayýt Yaptýrmayan,2023 Yýlýnda Ek Yerleþen,"2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Puaný *","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Puaný","2023 Yýlýnda 0,12 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlýnda 0,12 + 0,06 Katsayý ile Yerleþen Son Kiþinin Baþarý Sýrasý","2023 Yýlý Tavan Puaný(0,12 Katsayý ile) *","2023 Yýlý Tavan Baþarý Sýrasý(0,12 Katsayý ile) *",2022'de Yerleþip 2023'de OBP'si Kýrýlarak Yerleþen Sayýsý *,2023 Yýlýnda Yerleþenlerin Ortalama OBP'si *,2023 Yýlýnda Yerleþenlerin Ortalama Diploma Notu *
202210372,https://yokatlas.yok.gov.tr/lisans.php?y=202210372,ÝSTANBUL 29 MAYIS ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=202210372,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,11,6,,,5947,7397,,,428.26706,426.59348,,,11,6,,,Eðitim Fakültesi,SÖZEL,Burslu,9,0,11,9,0,11,0,1,0,0,428.26706,0,5947,0,449.53406,2,0,441.127,88.2
203090189,https://yokatlas.yok.gov.tr/lisans.php?y=203090189,ÝSTANBUL KÜLTÜR ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203090189,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,6,5,,,9490,13520,,,418.53464,412.75167,,,6,5,,,Eðitim Fakültesi,SÖZEL,Burslu,4,0,6,4,0,6,0,1,0,0,418.53464,0,949,0,461.34399,1,1,419.049,83.8
201490108,https://yokatlas.yok.gov.tr/lisans.php?y=201490108,FATÝH SULTAN MEHMET VAKIF ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201490108,(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,7,6,,,9895,13522,,,417.69222,412.7409,,,7,6,,,Eðitim Fakültesi,SÖZEL,Burslu,5,0,7,5,0,7,0,1,0,0,417.69222,0,9895,0,420.91686,8,1,396.452,79.3
110910182,https://yokatlas.yok.gov.tr/lisans.php?y=110910182,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110910182,(Burslu)(4 Yýllýk),ANKARA,Devlet,Burslu,Örgün,Doldu#,10,10,,,22610,27712,,,398.51318,394.69845,,,10,10,,,ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),SÖZEL,Burslu,10,0,10,10,0,10,0,1,2,2,398.51318,0,2261,0,408.50424,15,0,379.023,75.8
201490115,https://yokatlas.yok.gov.tr/lisans.php?y=201490115,FATÝH SULTAN MEHMET VAKIF ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201490115,(%50 Ýndirimli)(4 Yýllýk),ÝSTANBUL,Vakýf,%50 Ýndirimli,Örgün,Doldu#,34,34,,,38395,46567,,,384.25874,379.6485,,,34,34,,,Eðitim Fakültesi,SÖZEL,%50 Ýndirimli,34,0,34,34,0,34,0,1,3,3,384.25874,0,38395,0,411.01592,13,3,358.4,71.7
201650353,https://yokatlas.yok.gov.tr/lisans.php?y=201650353,HASAN KALYONCU ÜNÝVERSÝTESÝ,Turizm Fakültesi,Gastronomi ve Mutfak Sanatlarý (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=201650353,(Burslu)(4 Yýllýk),GAZÝANTEP,Vakýf,Burslu,Örgün,Doldu#,8,,,,50877,,,,375.91105,,,,8,,,,Turizm Fakültesi,SÖZEL,Burslu,6,0,8,6,0,8,0,1,0,0,375.91105,0,50877,0,415.03574,11,3,429.29,85.9
203090182,https://yokatlas.yok.gov.tr/lisans.php?y=203090182,ÝSTANBUL KÜLTÜR ÜNÝVERSÝTESÝ,Eðitim Fakültesi,Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=203090182,(Ücretli)(4 Yýllýk),ÝSTANBUL,Vakýf,Ücretli,Örgün,Doldu#,3,3,,,57929,104857,,,371.87248,352.07122,,,3,3,,,Eðitim Fakültesi,SÖZEL,Ücretli,3,0,3,3,0,3,0,1,1,0,371.87248,0,57929,0,373.55076,55,2,316.5,63.3
110910189,https://yokatlas.yok.gov.tr/lisans.php?y=110910189,ANKARA SOSYAL BÝLÝMLER ÜNÝVERSÝTESÝ,ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),Özel Eðitim Öðretmenliði,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=110910189,(%50 Ýndirimli)(4 Yýllýk),ANKARA,Devlet,%50 Ýndirimli,Örgün,Doldu#,35,30,,,64932,91163,,,368.27877,357.16927,,,35,30,,,ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),SÖZEL,%50 Ýndirimli,35,0,35,35,0,35,0,1,1,1,368.27877,0,64932,0,396.94022,24,2,352.993,70.6
208151288,https://yokatlas.yok.gov.tr/lisans.php?y=208151288,ÝSTANBUL RUMELÝ ÜNÝVERSÝTESÝ,"Sanat, Tasarým ve Mimarlýk Fakültesi",Gastronomi ve Mutfak Sanatlarý (Fakülte),https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=208151288,(Ücretli)(4 Yýllýk),ÝSTANBUL,Vakýf,Ücretli,Örgün,Doldu#,1,1,,,67649,596373,,,366.96047,271.10309,,,1,1,,,"Sanat, Tasarým ve Mimarlýk Fakültesi",SÖZEL,Ücretli,1,0,1,1,0,1,0,1,1,0,366.96047,0,67649,0,366.96047,68,0,377.65,75.5
208750572,https://yokatlas.yok.gov.tr/lisans.php?y=208750572,ÝSTANBUL KENT ÜNÝVERSÝTESÝ,Sanat ve Tasarým Fakültesi,Görsel Ýletiþim Tasarýmý,https://yokatlas.yok.gov.tr/content/lightbox/kosullar-lisans.php?y=208750572,(Ýngilizce)(Burslu)(4 Yýllýk),ÝSTANBUL,Vakýf,Burslu,Örgün,Doldu#,8,,,,72127,,,,364.85016,,,,8,,,,Sanat ve Tasarým Fakültesi,SÖZEL,Burslu,6,0,8,6,0,8,0,1,1,0,364.85016,0,72127,0,398.4674,23,3,401.617,80.3
